,,,,,,,
Month,Volume of Water,Electricity,Volume of Water,Power Gen,,,
Jan 2001,22523,117053,250102,2358208,,slope,intercept
Feb 2001,22430,115536,214896,2400017,coefficient,7.112755426,658471.3907
Mar 2001,22154,276978,191682,2233490,standard error of coe,1.470161208,226680.9191
Apr 2001,21603,277390,174020,2276988,,0.5392448668,249520.125
May 2001,21127,225248,184944,1879235,,23.4070042,20
Jun 2001,20557,252309,173833,1902835,,1457326935051,1245205856031
Jul 2001,20245,228414,157162,1787092,,,
Aug 2001,20137,191494,148279,2032142,tstat,4.838078565,
Sep 2001,19873,157197,136994,1275028,coefficient/standard error,,
Oct 2001,19882,120179,128688,1517486,,,
Nov 2001,19776,177459,147049,1523403,,,
Dec 2001,19795,218951,165035,1590705,,,
Jan 2002,19870,209917,152469,1245441,,,
Feb 2002,19682,230246,130543,1436779,,,
Mar 2002,19112,353278,120646,1401847,,,
Apr 2002,18539,265282,117423,1818612,,,
May 2002,17915,263243,123355,1653271,,,
Jun 2002,17533,212250,121665,1726548,,,
Jul 2002,17343,219675,126046,1156197,,,
Aug 2002,17209,202311,126046,1582003,,,
Sep 2002,17093,130729,113777,1604876,,,
Oct 2002,17032,97955,92743,1537746,,,
Nov 2002,16850,94848,,,,,
Dec 2002,16718,120283,,,,,
Jan 2003,16854,103648,,,,,
Feb 2003,16978,97539,,,,,
Mar 2003,16826,182821,,,,,
Apr 2003,16287,319060,,,,,
May 2003,15893,220661,,,,,
Jun 2003,15733,192658,,,,,
Jul 2003,15598,204392,,,,,
Aug 2003,15741,204752,,,,,
Sep 2003,15618,164054,,,,,
Oct 2003,15517,159939,,,,,
Nov 2003,15337,199298,,,,,
Dec 2003,15300,184668,,,,v,
Jan 2004,15434,204023,,,,,
Feb 2004,15404,250719,,,,,
Mar 2004,15255,273499,,,,,
Apr 2004,14866,238587,,,,,
May 2004,14324,239479,,,,,
Jun 2004,14042,209925,,,,,
Jul 2004,13924,224298,,,,,
Aug 2004,14018,185375,,,,,
Sep 2004,13937,148092,,,,,
Oct 2004,14094,95015,,,,,
Nov 2004,14367,96569,,,,,
Dec 2004,14355,111407,,,,,
Jan 2005,15119,79177,,,,,
Feb 2005,15739,60936,,,,,
Mar 2005,16220,104849,,,,,
Apr 2005,15869,241555,,,,,
May 2005,15593,244281,,,,,
Jun 2005,15441,184885,,,,,
Jul 2005,15288,182737,,,,,
Aug 2005,15351,156150,,,,,
Sep 2005,15219,121340,,,,,
Oct 2005,15078,134484,,,,,
Nov 2005,14896,278465,,,,,
Dec 2005,15131,90376,,,,,
Jan 2006,15335,147131,,,,,
Feb 2006,15520,134690,,,,,
Mar 2006,15337,159271,,,,,
Apr 2006,14966,219751,,,,,
May 2006,14470,216461,,,,,
Jun 2006,14178,205219,,,,,
Jul 2006,13993,191194,,,,,
Aug 2006,14005,161517,,,,,
Sep 2006,13887,130030,,,,,
Oct 2006,13964,89706,,,,,
Nov 2006,14014,175602,,,,,
Dec 2006,14164,72263,,,,,
Jan 2007,14309,41520,,,,,
Feb 2007,14288,60554,,,,,
Mar 2007,13930,153521,,,,,
Apr 2007,13426,199255,,,,,
May 2007,12963,177421,,,,,
Jun 2007,12735,191394,,,,,
Jul 2007,12554,199245,,,,,
Aug 2007,12578,161088,,,,,
Sep 2007,12505,119435,,,,,
Oct 2007,12494,130053,,,,,
Nov 2007,12520,195508,,,,,
Dec 2007,12860,158098,,,,,
Jan 2008,13017,222378,,,,,
Feb 2008,13062,201827,,,,,
Mar 2008,12940,250006,,,,,
Apr 2008,12463,235191,,,,,
May 2008,12132,245033,,,,,
Jun 2008,11941,158865,,,,,
Jul 2008,11890,159252,,,,,
Aug 2008,11955,133041,,,,,
Sep 2008,12013,89909,,,,,
Oct 2008,12213,92408,,,,,
Nov 2008,12157,164649,,,,,
Dec 2008,12496,79583,,,,,
