Date Time,Lake Mead Differnece (Thousand acre-feet),ARIZONA (acre-feet),CALIFORNIA (acre-feet),NEVADA (acre-feet),MEXICO (acre-feet),Sum,mead_Evap_tavg (kg m-2 s-1),mead_Tair_f_inst (K),mead_Rainf_tavg (kg m-2 s-1),upperCRB_Tair_f_inst (K),upperCRB_Snowf_tavg (kg m-2 s-1),upperCRB_Rainf_tavg (kg m-2 s-1),upperCRB_SoilMoi40_100cm_inst,upperCRB_SWE_inst (kg m-2),PDSI (Index)
2000-02-01,-0072.0000000000,217000.0000000000,335700.0000000000,14600.0000000000,187000.0000000000,754300.0000000000,0000.0000073601,0282.3598883333,0000.0000204595,0270.0920248536,0000.0000088474,0000.0000048562,0083.2409926464,0015.8402608129,-0003.2200000000
2000-03-01,-0376.0000000000,282300.0000000000,472300.0000000000,22300.0000000000,218600.0000000000,995500.0000000000,0000.0000125838,0284.4779350000,0000.0000089549,0271.6168307113,0000.0000088183,0000.0000087589,0086.8167305941,0013.7244199792,-0002.6500000000
2000-04-01,-0385.0000000000,324800.0000000000,565900.0000000000,31300.0000000000,198800.0000000000,1120800.0000000000,0000.0000071798,0291.7096150000,0000.0000017034,0278.2238140795,0000.0000021221,0000.0000052038,0093.4289549519,0004.9519661117,-0003.2300000000
2000-05-01,-0166.0000000000,363700.0000000000,590700.0000000000,36900.0000000000,170600.0000000000,1161900.0000000000,0000.0000043278,0297.3257866667,0000.0000021804,0285.0209332218,0000.0000011564,0000.0000081916,0094.3707462803,0000.1783219723,-0004.3800000000
2000-06-01,-0533.0000000000,248000.0000000000,552800.0000000000,33400.0000000000,157100.0000000000,991300.0000000000,0000.0000030428,0301.2690966667,0000.0000029667,0289.7093179707,0000.0000001949,0000.0000060190,0083.1902619561,0000.0111324094,-0004.5800000000
2000-07-01,-0602.0000000000,236100.0000000000,580400.0000000000,36700.0000000000,163900.0000000000,1017100.0000000000,0000.0000028508,0303.2037550000,0000.0000019395,0293.4380000000,0000.0000000148,0000.0000064425,0071.9881407531,0000.0003615535,-0005.4100000000
2000-08-01,-0477.0000000000,198200.0000000000,511500.0000000000,36900.0000000000,133800.0000000000,880400.0000000000,0000.0000113454,0302.5717483333,0000.0000149476,0292.9271749163,0000.0000000110,0000.0000135862,0066.0450827218,0000.0002830173,-0005.2700000000
2000-09-01,0009.0000000000,168300.0000000000,353000.0000000000,29400.0000000000,131300.0000000000,682000.0000000000,0000.0000060258,0297.9584666667,0000.0000012549,0286.2679910251,0000.0000007072,0000.0000113932,0063.9151082782,0000.1202332636,-0005.6900000000
2000-10-01,-0009.0000000000,139200.0000000000,297300.0000000000,30400.0000000000,173500.0000000000,640400.0000000000,0000.0000043872,0290.5809250000,0000.0000188555,0278.3657079289,0000.0000029527,0000.0000167939,0064.0063135816,0000.3943931367,-0003.5100000000
2000-11-01,-0030.0000000000,219200.0000000000,319400.0000000000,21400.0000000000,155200.0000000000,715200.0000000000,0000.0000062384,0280.5189333333,0000.0000026910,0266.2901061925,0000.0000057866,0000.0000019918,0071.6007993222,0006.3622970767,-0002.7200000000
2000-12-01,-0047.0000000000,240700.0000000000,284100.0000000000,13100.0000000000,175400.0000000000,713300.0000000000,0000.0000041171,0281.2799783333,0000.0000014745,0266.1406311506,0000.0000054421,0000.0000007581,0071.3266553285,0012.2231410343,-0002.7900000000
