ds,soil,trend,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2000-02-01,83,71.09339555,0.3188893654,0.3188893654,0.3188893654,0.3188893654,0.3188893654,0.3188893654,0,0,0,59.74423598,82.96291762,71.09339555,71.09339555,71.41228492
2000-03-01,87,71.27096095,4.263698321,4.263698321,4.263698321,4.263698321,4.263698321,4.263698321,0,0,0,63.79468692,87.481875,71.27096095,71.27096095,75.53465927
2000-04-01,93,71.46077224,11.5471855,11.5471855,11.5471855,11.5471855,11.5471855,11.5471855,0,0,0,71.36688797,94.79073971,71.46077224,71.46077224,83.00795774
2000-05-01,94,71.64446059,14.37134522,14.37134522,14.37134522,14.37134522,14.37134522,14.37134522,0,0,0,74.4481874,97.31135836,71.64446059,71.64446059,86.01580581
2000-06-01,83,71.83427188,6.878776951,6.878776951,6.878776951,6.878776951,6.878776951,6.878776951,0,0,0,67.89043426,90.47803458,71.83427188,71.83427188,78.71304883
2000-07-01,72,72.01796023,-3.504930168,-3.504930168,-3.504930168,-3.504930168,-3.504930168,-3.504930168,0,0,0,56.9581321,80.12133885,72.01796023,72.01796023,68.51303006
2000-08-01,66,72.20777152,-8.065187147,-8.065187147,-8.065187147,-8.065187147,-8.065187147,-8.065187147,0,0,0,51.9601388,75.99841625,72.20777152,72.20777152,64.14258437
2000-09-01,64,72.39758281,-9.51227894,-9.51227894,-9.51227894,-9.51227894,-9.51227894,-9.51227894,0,0,0,51.39541189,75.2531892,72.39758281,72.39758281,62.88530387
2000-10-01,64,72.58127115,-7.197014487,-7.197014487,-7.197014487,-7.197014487,-7.197014487,-7.197014487,0,0,0,53.41907424,77.21484695,72.58127115,72.58127115,65.38425667
2000-11-01,72,72.77108244,-3.23535196,-3.23535196,-3.23535196,-3.23535196,-3.23535196,-3.23535196,0,0,0,57.29547076,80.92442243,72.77108244,72.77108244,69.53573048
2000-12-01,71,72.95477079,-2.709486754,-2.709486754,-2.709486754,-2.709486754,-2.709486754,-2.709486754,0,0,0,59.39710065,82.0522189,72.95477079,72.95477079,70.24528404
2001-01-01,71,73.14458208,-1.625450387,-1.625450387,-1.625450387,-1.625450387,-1.625450387,-1.625450387,0,0,0,60.33672832,83.23552207,73.14458208,73.14458208,71.51913169
2001-02-01,71,73.33439337,0.542227474,0.542227474,0.542227474,0.542227474,0.542227474,0.542227474,0,0,0,62.60980815,84.74618096,73.33439337,73.33439337,73.87662085
2001-03-01,76,73.50583583,4.325610096,4.325610096,4.325610096,4.325610096,4.325610096,4.325610096,0,0,0,66.8713098,89.84189966,73.50583583,73.50583583,77.83144592
2001-04-01,82,73.69564712,11.29526262,11.29526262,11.29526262,11.29526262,11.29526262,11.29526262,0,0,0,72.88865185,96.85720882,73.69564712,73.69564712,84.99090974
2001-05-01,87,73.87933547,14.42488962,14.42488962,14.42488962,14.42488962,14.42488962,14.42488962,0,0,0,76.89714152,99.57627644,73.87933547,73.87933547,88.30422508
2001-06-01,81,74.06914676,7.28829043,7.28829043,7.28829043,7.28829043,7.28829043,7.28829043,0,0,0,69.68528437,92.56410447,74.06914676,74.06914676,81.35743719
2001-07-01,72,74.2528351,-3.545225849,-3.545225849,-3.545225849,-3.545225849,-3.545225849,-3.545225849,0,0,0,59.88419437,82.98216843,74.2528351,74.2528351,70.70760925
2001-08-01,69,74.44264639,-8.194957338,-8.194957338,-8.194957338,-8.194957338,-8.194957338,-8.194957338,0,0,0,55.00737647,78.17264652,74.44264639,74.44264639,66.24768905
2001-09-01,68,74.63245769,-9.722081855,-9.722081855,-9.722081855,-9.722081855,-9.722081855,-9.722081855,0,0,0,52.43797038,76.52889104,74.63245769,74.63245769,64.91037583
2001-10-01,66,74.81614604,-6.918001841,-6.918001841,-6.918001841,-6.918001841,-6.918001841,-6.918001841,0,0,0,57.38130729,80.44429402,74.81614604,74.81614604,67.8981442
2001-11-01,66,75.00595733,-3.401413173,-3.401413173,-3.401413173,-3.401413173,-3.401413173,-3.401413173,0,0,0,60.27882402,83.35118569,75.00595733,75.00595733,71.60454416
2001-12-01,66,75.18964568,-2.474490332,-2.474490332,-2.474490332,-2.474490332,-2.474490332,-2.474490332,0,0,0,61.62753981,83.93718014,75.18964568,75.18964568,72.71515535
2002-01-01,66,75.37945698,-1.805571348,-1.805571348,-1.805571348,-1.805571348,-1.805571348,-1.805571348,0,0,0,61.69154957,86.26591888,75.37945698,75.37945698,73.57388563
2002-02-01,66,75.56926827,0.4657264566,0.4657264566,0.4657264566,0.4657264566,0.4657264566,0.4657264566,0,0,0,63.65426604,87.42991016,75.56926827,75.56926827,76.03499473
2002-03-01,67,75.74071073,4.386674604,4.386674604,4.386674604,4.386674604,4.386674604,4.386674604,0,0,0,68.9320421,92.22691958,75.74071073,75.74071073,80.12738534
2002-04-01,68,75.93052203,11.04374954,11.04374954,11.04374954,11.04374954,11.04374954,11.04374954,0,0,0,75.26950329,98.07812898,75.93052203,75.93052203,86.97427156
2002-05-01,69,76.11421039,14.48376661,14.48376661,14.48376661,14.48376661,14.48376661,14.48376661,0,0,0,79.47904531,101.8977701,76.11421039,76.11421039,90.59797699
2002-06-01,64,76.30402169,7.695408342,7.695408342,7.695408342,7.695408342,7.695408342,7.695408342,0,0,0,72.43368208,94.93967472,76.30402169,76.30402169,83.99943003
2002-07-01,59,76.48771005,-3.592104866,-3.592104866,-3.592104866,-3.592104866,-3.592104866,-3.592104866,0,0,0,61.31108516,84.50051409,76.48771005,76.48771005,72.89560518
2002-08-01,56,76.67752136,-8.326227654,-8.326227654,-8.326227654,-8.326227654,-8.326227654,-8.326227654,0,0,0,56.8567196,80.43553384,76.67752136,76.67752136,68.3512937
2002-09-01,58,76.86733266,-9.925367739,-9.925367739,-9.925367739,-9.925367739,-9.925367739,-9.925367739,0,0,0,55.13230771,78.51426191,76.86733266,76.86733266,66.94196492
2002-10-01,65,77.05102102,-6.636711839,-6.636711839,-6.636711839,-6.636711839,-6.636711839,-6.636711839,0,0,0,58.58634898,81.8805739,77.05102102,77.05102102,70.41430918
2002-11-01,68,77.24083232,-3.568408154,-3.568408154,-3.568408154,-3.568408154,-3.568408154,-3.568408154,0,0,0,61.6111336,85.76446014,77.24083232,77.24083232,73.67242417
2002-12-01,69,77.42452068,-2.241397626,-2.241397626,-2.241397626,-2.241397626,-2.241397626,-2.241397626,0,0,0,64.26535912,86.40295106,77.42452068,77.42452068,75.18312306
2003-01-01,69,77.61433199,-1.98942975,-1.98942975,-1.98942975,-1.98942975,-1.98942975,-1.98942975,0,0,0,64.2610544,87.83552369,77.61433199,77.61433199,75.62490224
2003-02-01,72,77.80414329,0.3912521095,0.3912521095,0.3912521095,0.3912521095,0.3912521095,0.3912521095,0,0,0,66.6575319,89.80560946,77.80414329,77.80414329,78.1953954
2003-03-01,76,77.97558576,4.446836929,4.446836929,4.446836929,4.446836929,4.446836929,4.446836929,0,0,0,69.75907343,94.33021622,77.97558576,77.97558576,82.42242269
2003-04-01,83,78.16539707,10.79283785,10.79283785,10.79283785,10.79283785,10.79283785,10.79283785,0,0,0,77.84544668,101.4437591,78.16539707,78.16539707,88.95823491
2003-05-01,86,78.34908542,14.54787253,14.54787253,14.54787253,14.54787253,14.54787253,14.54787253,0,0,0,80.67539631,103.9698728,78.34908542,78.34908542,92.89695795
