ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2000-02-01,7.411845167,13.42936003,13.42936003,13.42936003,13.42936003,13.42936003,13.42936003,0,0,0,14.13411619,27.46769359,7.411845167,7.411845167,20.8412052
2000-03-01,7.39733332,5.690411564,5.690411564,5.690411564,5.690411564,5.690411564,5.690411564,0,0,0,6.11385522,19.4957869,7.39733332,7.39733332,13.08774488
2000-04-01,7.381820656,-2.130088422,-2.130088422,-2.130088422,-2.130088422,-2.130088422,-2.130088422,0,0,0,-1.049754071,12.0831546,7.381820656,7.381820656,5.251732233
2000-05-01,7.3668084,-5.008916801,-5.008916801,-5.008916801,-5.008916801,-5.008916801,-5.008916801,0,0,0,-4.454293389,8.962009916,7.3668084,7.3668084,2.357891599
2000-06-01,7.351295736,-5.449716492,-5.449716492,-5.449716492,-5.449716492,-5.449716492,-5.449716492,0,0,0,-4.758365511,8.370761647,7.351295736,7.351295736,1.901579243
2000-07-01,7.33628348,-5.318255546,-5.318255546,-5.318255546,-5.318255546,-5.318255546,-5.318255546,0,0,0,-4.815533317,8.731187927,7.33628348,7.33628348,2.018027934
2000-08-01,7.320770816,-5.231376394,-5.231376394,-5.231376394,-5.231376394,-5.231376394,-5.231376394,0,0,0,-4.547607335,8.941757587,7.320770816,7.320770816,2.089394422
2000-09-01,7.305258152,-5.12904216,-5.12904216,-5.12904216,-5.12904216,-5.12904216,-5.12904216,0,0,0,-4.43673543,8.864162117,7.305258152,7.305258152,2.176215992
2000-10-01,7.290245897,-4.683417845,-4.683417845,-4.683417845,-4.683417845,-4.683417845,-4.683417845,0,0,0,-4.310228404,9.427940637,7.290245897,7.290245897,2.606828052
2000-11-01,7.274733233,-2.881926772,-2.881926772,-2.881926772,-2.881926772,-2.881926772,-2.881926772,0,0,0,-2.204626901,11.19894895,7.274733233,7.274733233,4.392806461
2000-12-01,7.259720977,4.12430997,4.12430997,4.12430997,4.12430997,4.12430997,4.12430997,0,0,0,4.886845998,17.48554509,7.259720977,7.259720977,11.38403095
2001-01-01,7.244208312,12.78730658,12.78730658,12.78730658,12.78730658,12.78730658,12.78730658,0,0,0,13.28599112,26.31718376,7.244208312,7.244208312,20.03151489
2001-02-01,7.228695648,13.339396,13.339396,13.339396,13.339396,13.339396,13.339396,0,0,0,14.02307429,27.03040075,7.228695648,7.228695648,20.56809165
2001-03-01,7.214684209,5.610837256,5.610837256,5.610837256,5.610837256,5.610837256,5.610837256,0,0,0,5.683451767,18.9195636,7.214684209,7.214684209,12.82552147
2001-04-01,7.199171545,-2.129844477,-2.129844477,-2.129844477,-2.129844477,-2.129844477,-2.129844477,0,0,0,-1.731776601,11.62902875,7.199171545,7.199171545,5.069327068
2001-05-01,7.184159289,-4.919516399,-4.919516399,-4.919516399,-4.919516399,-4.919516399,-4.919516399,0,0,0,-3.949556194,9.035524875,7.184159289,7.184159289,2.26464289
2001-06-01,7.168646625,-5.343021748,-5.343021748,-5.343021748,-5.343021748,-5.343021748,-5.343021748,0,0,0,-4.880657267,7.967014461,7.168646625,7.168646625,1.825624876
2001-07-01,7.153634369,-5.298930641,-5.298930641,-5.298930641,-5.298930641,-5.298930641,-5.298930641,0,0,0,-4.436287941,8.832117376,7.153634369,7.153634369,1.854703728
2001-08-01,7.138121704,-5.259739893,-5.259739893,-5.259739893,-5.259739893,-5.259739893,-5.259739893,0,0,0,-4.21700445,8.799617635,7.138121704,7.138121704,1.878381811
2001-09-01,7.122609041,-5.196242927,-5.196242927,-5.196242927,-5.196242927,-5.196242927,-5.196242927,0,0,0,-4.454615557,8.523040782,7.122609041,7.122609041,1.926366114
2001-10-01,7.107596786,-4.790901642,-4.790901642,-4.790901642,-4.790901642,-4.790901642,-4.790901642,0,0,0,-3.784630639,9.035310199,7.107596786,7.107596786,2.316695144
2001-11-01,7.092084123,-2.918796479,-2.918796479,-2.918796479,-2.918796479,-2.918796479,-2.918796479,0,0,0,-2.326777678,11.03450958,7.092084123,7.092084123,4.173287644
2001-12-01,7.077071868,4.207735009,4.207735009,4.207735009,4.207735009,4.207735009,4.207735009,0,0,0,4.735285878,17.65543079,7.077071868,7.077071868,11.28480688
2002-01-01,7.061559204,12.8056799,12.8056799,12.8056799,12.8056799,12.8056799,12.8056799,0,0,0,13.28510939,26.57252069,7.061559204,7.061559204,19.86723911
2002-02-01,7.046046541,13.37422507,13.37422507,13.37422507,13.37422507,13.37422507,13.37422507,0,0,0,13.34233307,27.03373751,7.046046541,7.046046541,20.42027162
2002-03-01,7.032035103,5.531688973,5.531688973,5.531688973,5.531688973,5.531688973,5.531688973,0,0,0,5.970630155,18.99082533,7.032035103,7.032035103,12.56372408
2002-04-01,7.01652244,-2.12509269,-2.12509269,-2.12509269,-2.12509269,-2.12509269,-2.12509269,0,0,0,-1.992381928,11.97326591,7.01652244,7.01652244,4.891429749
2002-05-01,7.001510186,-4.826999672,-4.826999672,-4.826999672,-4.826999672,-4.826999672,-4.826999672,0,0,0,-4.742609955,8.542260663,7.001510186,7.001510186,2.174510514
2002-06-01,6.985997523,-5.236895318,-5.236895318,-5.236895318,-5.236895318,-5.236895318,-5.236895318,0,0,0,-4.974128566,8.447252597,6.985997523,6.985997523,1.749102205
2002-07-01,6.970985269,-5.282552786,-5.282552786,-5.282552786,-5.282552786,-5.282552786,-5.282552786,0,0,0,-4.725363878,8.186992436,6.970985269,6.970985269,1.688432483
2002-08-01,6.955472606,-5.290681684,-5.290681684,-5.290681684,-5.290681684,-5.290681684,-5.290681684,0,0,0,-5.370584816,8.291368735,6.955472606,6.955472606,1.664790923
2002-09-01,6.939959944,-5.264660097,-5.264660097,-5.264660097,-5.264660097,-5.264660097,-5.264660097,0,0,0,-4.726733591,8.193918984,6.939959944,6.939959944,1.675299846
2002-10-01,6.92494769,-4.896159278,-4.896159278,-4.896159278,-4.896159278,-4.896159278,-4.896159278,0,0,0,-4.754954792,8.18350724,6.92494769,6.92494769,2.028788412
2002-11-01,6.909435027,-2.950660732,-2.950660732,-2.950660732,-2.950660732,-2.950660732,-2.950660732,0,0,0,-2.968177904,10.53546722,6.909435027,6.909435027,3.958774295
2002-12-01,6.894422773,4.292235043,4.292235043,4.292235043,4.292235043,4.292235043,4.292235043,0,0,0,4.877921184,18.00677369,6.894422773,6.894422773,11.18665782
2003-01-01,6.87891011,12.82017012,12.82017012,12.82017012,12.82017012,12.82017012,12.82017012,0,0,0,13.32536415,26.51683163,6.87891011,6.87891011,19.69908023
2003-02-01,6.863397448,13.40420475,13.40420475,13.40420475,13.40420475,13.40420475,13.40420475,0,0,0,13.42455385,26.90230266,6.863397448,6.863397448,20.26760219
2003-03-01,6.849386012,5.453177622,5.453177622,5.453177622,5.453177622,5.453177622,5.453177622,0,0,0,5.323199524,19.29099206,6.849386012,6.849386012,12.30256363
2003-04-01,6.83387335,-2.115759184,-2.115759184,-2.115759184,-2.115759184,-2.115759184,-2.115759184,0,0,0,-1.981970851,11.77419328,6.83387335,6.83387335,4.718114166
2003-05-01,6.818861096,-4.731490813,-4.731490813,-4.731490813,-4.731490813,-4.731490813,-4.731490813,0,0,0,-4.801858253,8.955161015,6.818861096,6.818861096,2.087370283
2003-06-01,6.803348434,-5.131501007,-5.131501007,-5.131501007,-5.131501007,-5.131501007,-5.131501007,0,0,0,-5.078500001,7.95648638,6.803348434,6.803348434,1.671847427
2003-07-01,6.788336181,-5.26916433,-5.26916433,-5.26916433,-5.26916433,-5.26916433,-5.26916433,0,0,0,-5.062550367,8.187949184,6.788336181,6.788336181,1.519171851
2003-08-01,6.772823519,-5.324146696,-5.324146696,-5.324146696,-5.324146696,-5.324146696,-5.324146696,0,0,0,-5.127323767,7.738391324,6.772823519,6.772823519,1.448676823
2003-09-01,6.757310857,-5.334168331,-5.334168331,-5.334168331,-5.334168331,-5.334168331,-5.334168331,0,0,0,-5.631172312,7.817122752,6.757310857,6.757310857,1.423142526
2003-10-01,6.742298603,-4.999053849,-4.999053849,-4.999053849,-4.999053849,-4.999053849,-4.999053849,0,0,0,-4.651752527,8.915526454,6.742298603,6.742298603,1.743244754
2003-11-01,6.726785943,-2.977540356,-2.977540356,-2.977540356,-2.977540356,-2.977540356,-2.977540356,0,0,0,-3.129216949,10.5789579,6.726785943,6.726785943,3.749245587
2003-12-01,6.711773691,4.377595178,4.377595178,4.377595178,4.377595178,4.377595178,4.377595178,0,0,0,4.19966826,17.66446017,6.711773691,6.711773691,11.08936887
2004-01-01,6.696261031,12.83066148,12.83066148,12.83066148,12.83066148,12.83066148,12.83066148,0,0,0,12.86743592,26.62630868,6.696261031,6.696261031,19.52692251
2004-02-01,6.680748371,13.42936003,13.42936003,13.42936003,13.42936003,13.42936003,13.42936003,0,0,0,13.07472607,26.12402854,6.680748371,6.680748371,20.1101084
2004-03-01,6.666236528,5.690411564,5.690411564,5.690411564,5.690411564,5.690411564,5.690411564,0,0,0,5.99213244,19.42163245,6.666236528,6.666236528,12.35664809
2004-04-01,6.650723867,-2.130088422,-2.130088422,-2.130088422,-2.130088422,-2.130088422,-2.130088422,0,0,0,-2.293990469,10.55078246,6.650723867,6.650723867,4.520635445
2004-05-01,6.635711616,-5.008916801,-5.008916801,-5.008916801,-5.008916801,-5.008916801,-5.008916801,0,0,0,-5.356103655,8.3128153,6.635711616,6.635711616,1.626794815
2004-06-01,6.620198955,-5.449716492,-5.449716492,-5.449716492,-5.449716492,-5.449716492,-5.449716492,0,0,0,-6.026904939,7.991223025,6.620198955,6.620198955,1.170482463
2004-07-01,6.605186704,-5.318255546,-5.318255546,-5.318255546,-5.318255546,-5.318255546,-5.318255546,0,0,0,-5.541871245,7.596411908,6.605186704,6.605186704,1.286931158
2004-08-01,6.589674043,-5.231376394,-5.231376394,-5.231376394,-5.231376394,-5.231376394,-5.231376394,0,0,0,-5.213970984,8.016266384,6.589674043,6.589674043,1.358297649
2004-09-01,6.574161383,-5.12904216,-5.12904216,-5.12904216,-5.12904216,-5.12904216,-5.12904216,0,0,0,-4.883032903,8.388442974,6.574161383,6.574161383,1.445119223
2004-10-01,6.559149131,-4.683417845,-4.683417845,-4.683417845,-4.683417845,-4.683417845,-4.683417845,0,0,0,-5.024168004,8.531406961,6.559149131,6.559149131,1.875731286
2004-11-01,6.54363647,-2.881926772,-2.881926772,-2.881926772,-2.881926772,-2.881926772,-2.881926772,0,0,0,-3.589017303,10.13032067,6.54363647,6.54363647,3.661709698
2004-12-01,6.528624218,4.12430997,4.12430997,4.12430997,4.12430997,4.12430997,4.12430997,0,0,0,4.25258512,17.42642582,6.528624218,6.528624218,10.65293419
2005-01-01,6.513111558,12.78730658,12.78730658,12.78730658,12.78730658,12.78730658,12.78730658,0,0,0,12.24505855,26.00819104,6.513111558,6.513111558,19.30041813
2005-02-01,6.497598898,13.339396,13.339396,13.339396,13.339396,13.339396,13.339396,0,0,0,12.94732006,26.53688158,6.497598898,6.497598898,19.8369949
2005-03-01,6.483587463,5.610837256,5.610837256,5.610837256,5.610837256,5.610837256,5.610837256,0,0,0,5.342704667,18.43051981,6.483587463,6.483587463,12.09442472
2005-04-01,6.468074764,-2.129844477,-2.129844477,-2.129844477,-2.129844477,-2.129844477,-2.129844477,0,0,0,-2.478012926,11.16176313,6.468074764,6.468074764,4.338230288
2005-05-01,6.453062476,-4.919516399,-4.919516399,-4.919516399,-4.919516399,-4.919516399,-4.919516399,0,0,0,-5.195053733,8.612779367,6.453062476,6.453062476,1.533546077
2005-06-01,6.437549777,-5.343021748,-5.343021748,-5.343021748,-5.343021748,-5.343021748,-5.343021748,0,0,0,-5.013466201,7.962564651,6.437549777,6.437549777,1.094528029
2005-07-01,6.422537489,-5.298930641,-5.298930641,-5.298930641,-5.298930641,-5.298930641,-5.298930641,0,0,0,-5.400600609,7.545212145,6.422537489,6.422537489,1.123606848
2005-08-01,6.40702479,-5.259739893,-5.259739893,-5.259739893,-5.259739893,-5.259739893,-5.259739893,0,0,0,-5.542432018,8.22904526,6.40702479,6.40702479,1.147284897
2005-09-01,6.391512092,-5.196242927,-5.196242927,-5.196242927,-5.196242927,-5.196242927,-5.196242927,0,0,0,-5.824571568,7.743619077,6.391512092,6.391512092,1.195269165
2005-10-01,6.376499803,-4.790901642,-4.790901642,-4.790901642,-4.790901642,-4.790901642,-4.790901642,0,0,0,-4.976799288,8.198213497,6.376499803,6.376499803,1.585598161
2005-11-01,6.360987105,-2.918796479,-2.918796479,-2.918796479,-2.918796479,-2.918796479,-2.918796479,0,0,0,-3.116944697,10.20016601,6.360987105,6.360987105,3.442190626
2005-12-01,6.345974816,4.207735009,4.207735009,4.207735009,4.207735009,4.207735009,4.207735009,0,0,0,3.80847376,17.26283459,6.345974816,6.345974816,10.55370982
2006-01-01,6.330462115,12.8056799,12.8056799,12.8056799,12.8056799,12.8056799,12.8056799,0,0,0,12.83115898,25.18090045,6.330462115,6.330462115,19.13614202
2006-02-01,6.314949413,13.37422507,13.37422507,13.37422507,13.37422507,13.37422507,13.37422507,0,0,0,12.90373795,26.0316319,6.314949413,6.314949413,19.68917449
2006-03-01,6.30093794,5.531688973,5.531688973,5.531688973,5.531688973,5.531688973,5.531688973,0,0,0,5.252597813,18.35173958,6.30093794,6.30093794,11.83262691
2006-04-01,6.285425238,-2.12509269,-2.12509269,-2.12509269,-2.12509269,-2.12509269,-2.12509269,0,0,0,-2.28402016,10.93581427,6.285425238,6.285425238,4.160332548
2006-05-01,6.270412946,-4.826999672,-4.826999672,-4.826999672,-4.826999672,-4.826999672,-4.826999672,0,0,0,-5.429473298,7.432184053,6.270412946,6.270412946,1.443413274
2006-06-01,6.254900245,-5.236895318,-5.236895318,-5.236895318,-5.236895318,-5.236895318,-5.236895318,0,0,0,-5.623667379,7.180114762,6.254900245,6.254900245,1.018004926
2006-07-01,6.239887953,-5.282552786,-5.282552786,-5.282552786,-5.282552786,-5.282552786,-5.282552786,0,0,0,-5.729935285,7.65957558,6.239887953,6.239887953,0.9573351669
2006-08-01,6.224375251,-5.290681684,-5.290681684,-5.290681684,-5.290681684,-5.290681684,-5.290681684,0,0,0,-5.7138724,7.695329517,6.224375251,6.224375251,0.9336935674
2006-09-01,6.208862549,-5.264660097,-5.264660097,-5.264660097,-5.264660097,-5.264660097,-5.264660097,0,0,0,-5.546757009,7.673210605,6.208862549,6.208862549,0.944202452
2006-10-01,6.193850254,-4.896159278,-4.896159278,-4.896159278,-4.896159278,-4.896159278,-4.896159278,0,0,0,-5.398521338,7.858632255,6.193850254,6.193850254,1.297690976
2006-11-01,6.178337549,-2.950660732,-2.950660732,-2.950660732,-2.950660732,-2.950660732,-2.950660732,0,0,0,-3.15165028,9.826886174,6.178337549,6.178337549,3.227676817
2006-12-01,6.163325255,4.292235043,4.292235043,4.292235043,4.292235043,4.292235043,4.292235043,0,0,0,4.199533636,16.87192582,6.163325255,6.163325255,10.4555603
2007-01-01,6.14781255,12.82017012,12.82017012,12.82017012,12.82017012,12.82017012,12.82017012,0,0,0,12.45101638,25.42084937,6.14781255,6.14781255,18.96798267
2007-02-01,6.132299845,13.40420475,13.40420475,13.40420475,13.40420475,13.40420475,13.40420475,0,0,0,13.05584131,25.92801733,6.132299845,6.132299845,19.53650459
2007-03-01,6.11828837,5.453177622,5.453177622,5.453177622,5.453177622,5.453177622,5.453177622,0,0,0,5.362851764,18.23275492,6.11828837,6.11828837,11.57146599
2007-04-01,6.102775665,-2.115759184,-2.115759184,-2.115759184,-2.115759184,-2.115759184,-2.115759184,0,0,0,-2.74178482,10.29393429,6.102775665,6.102775665,3.987016481
2007-05-01,6.08776337,-4.731490813,-4.731490813,-4.731490813,-4.731490813,-4.731490813,-4.731490813,0,0,0,-5.392477558,7.902928915,6.08776337,6.08776337,1.356272557
2007-06-01,6.072250665,-5.131501007,-5.131501007,-5.131501007,-5.131501007,-5.131501007,-5.131501007,0,0,0,-6.140726162,7.012674641,6.072250665,6.072250665,0.9407496586
2007-07-01,6.057237617,-5.26916433,-5.26916433,-5.26916433,-5.26916433,-5.26916433,-5.26916433,0,0,0,-5.539316141,7.535830114,6.057237617,6.057237617,0.7880732876
2007-08-01,6.041724134,-5.324146696,-5.324146696,-5.324146696,-5.324146696,-5.324146696,-5.324146696,0,0,0,-6.154165339,6.963334393,6.041724134,6.041724134,0.7175774383
2007-09-01,6.026210651,-5.334168331,-5.334168331,-5.334168331,-5.334168331,-5.334168331,-5.334168331,0,0,0,-6.519392121,7.41272514,6.026210651,6.026210651,0.6920423203
2007-10-01,6.011197603,-4.999053849,-4.999053849,-4.999053849,-4.999053849,-4.999053849,-4.999053849,0,0,0,-6.308343058,7.733849856,6.011197603,6.011197603,1.012143754
2007-11-01,5.99568412,-2.977540356,-2.977540356,-2.977540356,-2.977540356,-2.977540356,-2.977540356,0,0,0,-3.467843753,9.524905989,5.99568412,5.99568412,3.018143765
2007-12-01,5.980671072,4.377595178,4.377595178,4.377595178,4.377595178,4.377595178,4.377595178,0,0,0,3.903324436,16.75798279,5.980671072,5.980671072,10.35826625
2008-01-01,5.965157589,12.83066148,12.83066148,12.83066148,12.83066148,12.83066148,12.83066148,0,0,0,12.1341853,25.5306205,5.965157589,5.965157589,18.79581907
2008-02-01,5.949644106,13.42936003,13.42936003,13.42936003,13.42936003,13.42936003,13.42936003,0,0,0,12.46318261,26.05485933,5.949644106,5.949644106,19.37900414
2008-03-01,5.934994013,5.690411564,5.690411564,5.690411564,5.690411564,5.690411564,5.690411564,0,0,0,4.744806952,17.89928746,5.934994013,5.934994013,11.62540558
2008-04-01,5.919333568,-2.130088422,-2.130088422,-2.130088422,-2.130088422,-2.130088422,-2.130088422,0,0,0,-3.668367925,10.19553086,5.919333568,5.919333568,3.789245146
2008-05-01,5.904178299,-5.008916801,-5.008916801,-5.008916801,-5.008916801,-5.008916801,-5.008916801,0,0,0,-5.4293825,7.783132648,5.904178299,5.904178299,0.8952614982
2008-06-01,5.888517854,-5.449716492,-5.449716492,-5.449716492,-5.449716492,-5.449716492,-5.449716492,0,0,0,-6.178947581,7.007723198,5.888517854,5.888517854,0.4388013618
2008-07-01,5.873362585,-5.318255546,-5.318255546,-5.318255546,-5.318255546,-5.318255546,-5.318255546,0,0,0,-6.400030583,6.986117722,5.873362585,5.873362585,0.555107039
2008-08-01,5.85770214,-5.231376394,-5.231376394,-5.231376394,-5.231376394,-5.231376394,-5.231376394,0,0,0,-5.9116307,7.354025136,5.85770214,5.85770214,0.6263257464
2008-09-01,5.842041696,-5.12904216,-5.12904216,-5.12904216,-5.12904216,-5.12904216,-5.12904216,0,0,0,-6.018263546,7.404150475,5.842041696,5.842041696,0.7129995356
2008-10-01,5.826886426,-4.683417845,-4.683417845,-4.683417845,-4.683417845,-4.683417845,-4.683417845,0,0,0,-5.220774535,7.873889831,5.826886426,5.826886426,1.143468581
2008-11-01,5.811225982,-2.881926772,-2.881926772,-2.881926772,-2.881926772,-2.881926772,-2.881926772,0,0,0,-3.90970047,9.340269954,5.811225982,5.811225982,2.929299209
2008-12-01,5.795744195,4.12430997,4.12430997,4.12430997,4.12430997,4.12430997,4.12430997,0,0,0,3.668417038,16.61807432,5.795744195,5.795744195,9.920054165
2009-01-01,5.779746349,12.78730658,12.78730658,12.78730658,12.78730658,12.78730658,12.78730658,0,0,0,11.97111101,25.01042905,5.779746349,5.779746349,18.56705293
2009-02-01,5.763748502,13.339396,13.339396,13.339396,13.339396,13.339396,13.339396,0,0,0,12.81243801,25.95634025,5.763748502,5.763748502,19.1031445
2009-03-01,5.749298835,5.610837256,5.610837256,5.610837256,5.610837256,5.610837256,5.610837256,0,0,0,4.465598034,18.13216711,5.749298835,5.749298835,11.36013609
2009-04-01,5.733300989,-2.129844477,-2.129844477,-2.129844477,-2.129844477,-2.129844477,-2.129844477,0,0,0,-2.91536714,9.871204438,5.733300989,5.733300989,3.603456512
2009-05-01,5.717819202,-4.919516399,-4.919516399,-4.919516399,-4.919516399,-4.919516399,-4.919516399,0,0,0,-6.099574539,7.573383827,5.717819202,5.717819202,0.798302803
2009-06-01,5.701821356,-5.343021748,-5.343021748,-5.343021748,-5.343021748,-5.343021748,-5.343021748,0,0,0,-6.271512843,6.903931601,5.701821356,5.701821356,0.3587996074
2009-07-01,5.686339569,-5.298930641,-5.298930641,-5.298930641,-5.298930641,-5.298930641,-5.298930641,0,0,0,-6.100337288,6.774813109,5.686339569,5.686339569,0.3874089281
2009-08-01,5.670341723,-5.259739893,-5.259739893,-5.259739893,-5.259739893,-5.259739893,-5.259739893,0,0,0,-6.165977514,7.442061174,5.670341723,5.670341723,0.4106018297
2009-09-01,5.654308497,-5.196242927,-5.196242927,-5.196242927,-5.196242927,-5.196242927,-5.196242927,0,0,0,-6.125925138,7.487604982,5.654308497,5.654308497,0.4580655697
2009-10-01,5.638792472,-4.790901642,-4.790901642,-4.790901642,-4.790901642,-4.790901642,-4.790901642,0,0,0,-5.751196047,7.536350614,5.638792472,5.638792472,0.8478908296
2009-11-01,5.622759246,-2.918796479,-2.918796479,-2.918796479,-2.918796479,-2.918796479,-2.918796479,0,0,0,-4.08441843,9.374370758,5.622759246,5.622759246,2.703962767
2009-12-01,5.60724322,4.207735009,4.207735009,4.207735009,4.207735009,4.207735009,4.207735009,0,0,0,3.542129131,16.70397775,5.60724322,5.60724322,9.814978229
2010-01-01,5.591209994,12.8056799,12.8056799,12.8056799,12.8056799,12.8056799,12.8056799,0,0,0,11.45226031,24.58438951,5.591209994,5.591209994,18.3968899
2010-02-01,5.575176768,13.37422507,13.37422507,13.37422507,13.37422507,13.37422507,13.37422507,0,0,0,12.48595135,25.69546989,5.575176768,5.575176768,18.94940184
2010-03-01,5.560695145,5.531688973,5.531688973,5.531688973,5.531688973,5.531688973,5.531688973,0,0,0,4.499605801,17.81052546,5.560695145,5.560695145,11.09238412
2010-04-01,5.544661919,-2.12509269,-2.12509269,-2.12509269,-2.12509269,-2.12509269,-2.12509269,0,0,0,-3.202668398,10.18891439,5.544661919,5.544661919,3.419569228
2010-05-01,5.529145894,-4.826999672,-4.826999672,-4.826999672,-4.826999672,-4.826999672,-4.826999672,0,0,0,-6.050463249,7.209618705,5.529145894,5.529145894,0.7021462214
2010-06-01,5.513112264,-5.236895318,-5.236895318,-5.236895318,-5.236895318,-5.236895318,-5.236895318,0,0,0,-5.9920635,6.797177253,5.513112264,5.513112264,0.2762169455
2010-07-01,5.497595848,-5.282552786,-5.282552786,-5.282552786,-5.282552786,-5.282552786,-5.282552786,0,0,0,-6.726602955,6.908404616,5.497595848,5.497595848,0.215043062
2010-08-01,5.481562218,-5.290681684,-5.290681684,-5.290681684,-5.290681684,-5.290681684,-5.290681684,0,0,0,-6.613018139,6.874395842,5.481562218,5.481562218,0.1908805345
2010-09-01,5.465528588,-5.264660097,-5.264660097,-5.264660097,-5.264660097,-5.264660097,-5.264660097,0,0,0,-6.518792344,7.032576899,5.465528588,5.465528588,0.2008684911
2010-10-01,5.450012172,-4.896159278,-4.896159278,-4.896159278,-4.896159278,-4.896159278,-4.896159278,0,0,0,-5.745599947,7.338996239,5.450012172,5.450012172,0.5538528946
2010-11-01,5.433978543,-2.950660732,-2.950660732,-2.950660732,-2.950660732,-2.950660732,-2.950660732,0,0,0,-4.266490095,8.982771393,5.433978543,5.433978543,2.48331781
2010-12-01,5.418462127,4.292235043,4.292235043,4.292235043,4.292235043,4.292235043,4.292235043,0,0,0,3.107001493,16.05578978,5.418462127,5.418462127,9.71069717
2011-01-01,5.402428497,12.82017012,12.82017012,12.82017012,12.82017012,12.82017012,12.82017012,0,0,0,11.80777268,24.64308115,5.402428497,5.402428497,18.22259862
2011-02-01,5.38639486,13.40420475,13.40420475,13.40420475,13.40420475,13.40420475,13.40420475,0,0,0,12.11393836,24.75239752,5.38639486,5.38639486,18.79059961
2011-03-01,5.371912865,5.453177622,5.453177622,5.453177622,5.453177622,5.453177622,5.453177622,0,0,0,3.960982661,17.62993478,5.371912865,5.371912865,10.82509049
2011-04-01,5.355879228,-2.115759184,-2.115759184,-2.115759184,-2.115759184,-2.115759184,-2.115759184,0,0,0,-2.867943356,10.21158389,5.355879228,5.355879228,3.240120045
2011-05-01,5.340362805,-4.731490813,-4.731490813,-4.731490813,-4.731490813,-4.731490813,-4.731490813,0,0,0,-5.478754587,7.425502693,5.340362805,5.340362805,0.6088719927
2011-06-01,5.324329168,-5.131501007,-5.131501007,-5.131501007,-5.131501007,-5.131501007,-5.131501007,0,0,0,-6.113760216,7.229926995,5.324329168,5.324329168,0.1928281617
2011-07-01,5.308812745,-5.26916433,-5.26916433,-5.26916433,-5.26916433,-5.26916433,-5.26916433,0,0,0,-6.327203351,6.679077427,5.308812745,5.308812745,0.03964841583
2011-08-01,5.292779108,-5.324146696,-5.324146696,-5.324146696,-5.324146696,-5.324146696,-5.324146696,0,0,0,-6.527086138,6.938664536,5.292779108,5.292779108,-0.03136758753
2011-09-01,5.276745471,-5.334168331,-5.334168331,-5.334168331,-5.334168331,-5.334168331,-5.334168331,0,0,0,-6.667763384,7.148805664,5.276745471,5.276745471,-0.05742285962
2011-10-01,5.261229048,-4.999053849,-4.999053849,-4.999053849,-4.999053849,-4.999053849,-4.999053849,0,0,0,-6.59001297,6.644471698,5.261229048,5.261229048,0.2621751996
