,,,Up until 2022 (inclusive),From 2023 (inclusive) onwards,"m <- prophet(df_test, 
             yearly.seasonality = TRUE,
             seasonality.prior.scale = 0.5,
             changepoint.prior.scale = 0.9)","m <- prophet(df_test, yearly.seasonality = TRUE)","m <- prophet(df_test, yearly.seasonality = TRUE)",Used Average for forecast,,
Date Time,TRUE Difference in Volume of Water,FORECASTED Difference in Volume of Water,TRUE Volume of Water,FORECASTED Volume of Water,Sum (changed fbprophet),upperCRB_SoilMoi40_100cm_inst,upperCRB_SWE_inst (kg m-2),PDSI (Index),PDSI Extreme Bad,PDSI Extreme Good
2000-01-01,,,"25,046.00",,,,,-2.82,-4,4
2000-02-01,-72.00,-79.89,"24,974.00",,727738.114,83.000,15.8402608100,-3.22,-4,4
2000-03-01,-376.00,-385.51,"24,598.00",,968092.9867,87.000,13.7244199800,-2.65,-4,4
2000-04-01,-385.00,-567.07,"24,213.00",,1103040.571,93.000,4.9519661120,-3.23,-4,4
2000-05-01,-166.00,-528.16,"24,047.00",,1102688.259,94.000,0.1783219723,-4.38,-4,4
2000-06-01,-533.00,-360.73,"23,514.00",,1002672.539,83.000,0.0111324094,-4.58,-4,4
2000-07-01,-602.00,-259.49,"22,912.00",,977677.9485,72.000,0.0003615535,-5.41,-4,4
2000-08-01,-477.00,-137.34,"22,435.00",,874540.0348,66.000,0.0002830173,-5.27,-4,4
2000-09-01,9.00,-177.21,"22,444.00",,825352.0837,64.000,0.1202332636,-5.69,-4,4
2000-10-01,-9.00,-101.68,"22,435.00",,755487.4876,64.000,0.3943931367,-3.51,-4,4
2000-11-01,-30.00,-74.61,"22,405.00",,722504.7044,72.000,6.3622970770,-2.72,-4,4
2000-12-01,-47.00,11.19,"22,358.00",,658244.2989,71.000,12.2231410300,-2.79,-4,4
2001-01-01,165.00,63.03,"22,523.00",,631578.0374,71.000,18.8902934500,-2.08,-4,4
2001-02-01,-93.00,41.64,"22,430.00",,661672.5091,71.000,24.8728295600,-1.68,-4,4
2001-03-01,-276.00,-353.39,"22,154.00",,956276.9331,76.000,16.6498654600,-1.51,-4,4
2001-04-01,-551.00,-539.74,"21,603.00",,1088442.942,82.000,5.3244068920,-1.36,-4,4
2001-05-01,-476.00,-505.91,"21,127.00",,1076005.979,87.000,0.4306921443,-1.17,-4,4
2001-06-01,-570.00,-330.21,"20,557.00",,991845.0883,81.000,0.0042282078,-1.32,-4,4
2001-07-01,-312.00,-163.61,"20,245.00",,970594.117,72.000,0.0000254000,-1.49,-4,4
2001-08-01,-108.00,-113.63,"20,137.00",,869993.7005,69.000,0.0001355615,-1.52,-4,4
2001-09-01,-264.00,-160.59,"19,873.00",,826838.9361,68.000,0.0266352859,-2.25,-4,4
2001-10-01,9.00,-90.82,"19,882.00",,756334.4202,66.000,0.1170546799,-2.8,-4,4
2001-11-01,-106.00,-42.00,"19,776.00",,699002.499,66.000,2.1577337890,-2.73,-4,4
2001-12-01,19.00,46.68,"19,795.00",,631755.4258,66.000,14.5101206100,-2.75,-4,4
2002-01-01,75.00,50.64,"19,870.00",,628007.3287,66.000,20.2601406200,-3.12,-4,4
2002-02-01,-188.00,-13.88,"19,682.00",,671291.4741,66.000,18.8616184400,-3.6,-4,4
2002-03-01,-570.00,-377.89,"19,112.00",,947701.6254,67.000,14.3026858800,-3.88,-4,4
2002-04-01,-573.00,-530.33,"18,539.00",,1076666.857,68.000,2.3219290420,-4.61,-4,4
2002-05-01,-624.00,-461.09,"17,915.00",,1048630.546,69.000,0.1822400143,-5.8,-4,4
2002-06-01,-382.00,-237.96,"17,533.00",,976567.6461,64.000,0.0001727685,-6.81,-4,4
2002-07-01,-190.00,-138.22,"17,343.00",,955000.5811,59.000,0.0000206000,-7.3,-4,4
2002-08-01,-134.00,-96.27,"17,209.00",,852822.5502,56.000,0.0001437441,-7.73,-4,4
2002-09-01,-116.00,-141.25,"17,093.00",,811413.5887,58.000,0.0254986051,-6.2,-4,4
2002-10-01,-61.00,-83.60,"17,032.00",,735874.4815,65.000,0.7576722600,-5.32,-4,4
2002-11-01,-182.00,11.60,"16,850.00",,650204.6751,68.000,3.9825376450,-4.95,-4,4
2002-12-01,-132.00,103.53,"16,718.00",,577307.232,69.000,6.0027702620,-4.64,-4,4
2003-01-01,136.00,75.21,"16,854.00",,593142.0174,69.000,8.6996336130,-5.32,-4,4
2003-02-01,124.00,12.00,"16,978.00",,645506.6456,72.000,10.8495767300,-4.41,-4,4
2003-03-01,-152.00,-315.11,"16,826.00",,899863.457,76.000,10.0875393800,-4.08,-4,4
2003-04-01,-539.00,-462.51,"16,287.00",,1022085.495,83.000,3.2174237950,-4,-4,4
2003-05-01,-394.00,-385.88,"15,893.00",,982372.8728,86.000,0.3324188454,-4.46,-4,4
2003-06-01,-160.00,-275.35,"15,733.00",,926306.5848,80.000,0.0170546547,-4.49,-4,4
2003-07-01,-135.00,-27.32,"15,598.00",,907777.257,70.000,0.0000062400,-5.57,-4,4
2003-08-01,143.00,-40.24,"15,741.00",,807572.5531,66.000,0.0001122790,-5.72,-4,4
2003-09-01,-123.00,-70.95,"15,618.00",,771287.2538,67.000,0.0050297245,-5.59,-4,4
2003-10-01,-101.00,-4.71,"15,517.00",,693752.3292,69.000,0.0495253238,-5.84,-4,4
2003-11-01,-180.00,96.25,"15,337.00",,583974.9813,69.000,4.2499753360,-5,-4,4
2003-12-01,-37.00,184.01,"15,300.00",,510239.6937,70.000,11.5513906500,-4.78,-4,4
2004-01-01,134.00,124.76,"15,434.00",,550014.2002,70.000,26.1108530200,-4.65,-4,4
2004-02-01,-30.00,57.51,"15,404.00",,615053.0657,70.000,27.8448968900,-3.84,-4,4
2004-03-01,-149.00,-260.79,"15,255.00",,852958.1022,76.000,13.5330250200,-4.47,-4,4
2004-04-01,-389.00,-404.76,"14,866.00",,985286.8959,93.000,1.3410841230,-3.22,-4,4
2004-05-01,-542.00,-373.65,"14,324.00",,982400.2712,95.000,0.1315996581,-3.75,-4,4
2004-06-01,-282.00,-203.67,"14,042.00",,879765.7607,84.000,0.0062770223,-3.73,-4,4
2004-07-01,-118.00,-111.44,"13,924.00",,852236.8565,75.000,0.0002723883,-3.64,-4,4
2004-08-01,94.00,6.39,"14,018.00",,748816.347,70.000,0.0002478405,-3.59,-4,4
2004-09-01,-81.00,-8.58,"13,937.00",,699345.8,68.000,0.0376090480,0.47,-4,4
2004-10-01,157.00,56.34,"14,094.00",,629207.7241,76.000,0.7007068246,1.26,-4,4
2004-11-01,273.00,115.91,"14,367.00",,595942.345,91.000,5.0129917950,1.99,-4,4
2004-12-01,-12.00,245.80,"14,355.00",,530957.5724,93.000,12.2860710800,1.94,-4,4
2005-01-01,764.00,492.29,"15,119.00",,503542.7982,101.000,34.2432784800,2.97,-4,4
2005-02-01,620.00,509.50,"15,739.00",,532888.7572,108.000,33.6540684100,3.9,-4,4
2005-03-01,481.00,6.22,"16,220.00",,826817.1052,114.000,21.1924142400,3.86,-4,4
2005-04-01,-351.00,-270.76,"15,869.00",,961397.7851,123.000,10.6983297200,3.85,-4,4
2005-05-01,-276.00,-336.57,"15,593.00",,951297.6004,129.000,2.6503013130,4.15,-4,4
2005-06-01,-152.00,-221.77,"15,441.00",,869551.3809,115.000,0.0549557183,4.75,-4,4
2005-07-01,-153.00,-78.90,"15,288.00",,850637.188,94.000,0.0000832000,-0.38,-4,4
2005-08-01,63.00,28.28,"15,351.00",,752451.4425,85.000,0.0000802000,0.41,-4,4
2005-09-01,-132.00,6.95,"15,219.00",,711711.3479,81.000,0.0029910216,-0.29,-4,4
2005-10-01,-141.00,41.05,"15,078.00",,643543.6092,82.000,0.3789644361,-0.03,-4,4
2005-11-01,-182.00,104.96,"14,896.00",,588626.3578,87.000,1.2490163900,-0.75,-4,4
2005-12-01,235.00,194.55,"15,131.00",,523716.0619,87.000,6.6141366800,-1.27,-4,4
2006-01-01,204.00,204.65,"15,335.00",,522059.8561,87.000,12.6949274200,-1.86,-4,4
2006-02-01,185.00,137.07,"15,520.00",,567435.8929,87.000,14.3538942600,-2.67,-4,4
