Date,mead_Evap_tavg,mead_Evap_tavg,mead_Tair_f_inst,upperCRB_Tair_f_inst,mead_Rainf_tavg,upperCRB_Rainf_tavg,upperCRB_SoilMoi10_40cm_inst,upperCRB_SWE_inst
1/1/2000,2.38E-06,2.38E-06,281.4570267,267.653656,4.57E-06,5.26E-06,46.55808904,10.32421425
2/1/2000,7.36E-06,7.36E-06,282.3598883,270.0920249,2.05E-05,4.86E-06,54.48090321,15.84026081
3/1/2000,1.26E-05,1.26E-05,284.477935,271.6168307,8.95E-06,8.76E-06,64.31442788,13.72441998
4/1/2000,7.18E-06,7.18E-06,291.709615,278.2238141,1.70E-06,5.20E-06,68.69674055,4.951966112
5/1/2000,4.33E-06,4.33E-06,297.3257867,285.0209332,2.18E-06,8.19E-06,57.71257061,0.1783219723
6/1/2000,3.04E-06,3.04E-06,301.2690967,289.709318,2.97E-06,6.02E-06,43.9437485,0.01113240939
7/1/2000,2.85E-06,2.85E-06,303.203755,293.438,1.94E-06,6.44E-06,36.14391931,0.0003615535135
8/1/2000,1.13E-05,1.13E-05,302.5717483,292.9271749,1.49E-05,1.36E-05,34.58820056,0.0002830172784
9/1/2000,6.03E-06,6.03E-06,297.9584667,286.267991,1.25E-06,1.14E-05,36.56079294,0.1202332636
10/1/2000,4.39E-06,4.39E-06,290.580925,278.3657079,1.89E-05,1.68E-05,41.93316149,0.3943931367
11/1/2000,6.24E-06,6.24E-06,280.5189333,266.2901062,2.69E-06,1.99E-06,56.41761465,6.362297077
12/1/2000,4.12E-06,4.12E-06,281.2799783,266.1406312,1.47E-06,7.58E-07,56.31972024,12.22314103
1/1/2001,4.85E-06,4.85E-06,279.2860333,264.9579389,1.51E-05,2.27E-06,56.73359585,18.89029345
2/1/2001,8.62E-06,8.62E-06,280.550415,267.4309469,1.77E-05,3.53E-06,60.3122821,24.87282956
3/1/2001,1.30E-05,1.30E-05,286.2189267,271.7226618,9.65E-06,4.64E-06,71.36181046,16.64986546
4/1/2001,1.29E-05,1.29E-05,289.287075,276.680237,8.66E-06,8.68E-06,74.08886506,5.324406892
5/1/2001,4.46E-06,4.46E-06,298.6366283,284.2284524,1.18E-06,8.58E-06,62.65393279,0.4306921443
6/1/2001,3.03E-06,3.03E-06,302.2879317,289.8394081,1.26E-06,4.67E-06,45.80662978,0.004228207789
7/1/2001,6.92E-06,6.92E-06,302.9479683,292.6581241,6.59E-06,1.13E-05,39.09747824,2.54E-05
8/1/2001,1.05E-05,1.05E-05,304.4076983,291.3115469,1.15E-05,1.66E-05,40.94401244,0.0001355614789
9/1/2001,2.94E-06,2.94E-06,300.9303367,287.9595149,8.39E-07,5.11E-06,40.36690564,0.02663528593
10/1/2001,1.21E-06,1.21E-06,294.6011917,280.5774457,2.08E-06,4.45E-06,37.90931848,0.1170546799
11/1/2001,3.04E-06,3.04E-06,286.8891817,274.3694633,4.73E-06,5.79E-06,39.79460048,2.157733789
12/1/2001,3.79E-06,3.79E-06,279.07717,267.0103091,7.45E-06,1.40E-06,42.7259386,14.51012061
1/1/2002,4.77E-06,4.77E-06,280.3594733,266.3499467,1.17E-06,8.07E-07,43.73977933,20.26014062
2/1/2002,3.75E-06,3.75E-06,283.6194867,267.025209,4.76E-07,6.90E-07,44.3484628,18.86161844
3/1/2002,4.05E-06,4.05E-06,284.9941617,270.4639773,2.80E-06,2.76E-06,47.13784062,14.30268588
4/1/2002,5.00E-06,5.00E-06,292.6376533,279.0390782,2.28E-06,5.67E-06,52.58565587,2.321929042
5/1/2002,2.60E-06,2.60E-06,295.8916383,283.6271657,5.60E-07,2.81E-06,47.13152602,0.1822400143
6/1/2002,1.59E-06,1.59E-06,302.8192583,291.3253139,4.03E-07,2.24E-06,36.66215374,0.0001727684791
7/1/2002,2.68E-06,2.68E-06,305.89424,294.3309227,2.83E-06,8.37E-06,31.50098771,2.06E-05
8/1/2002,2.03E-06,2.03E-06,303.779545,291.1630073,2.86E-06,8.00E-06,30.32979131,0.0001437440959
9/1/2002,9.39E-06,9.39E-06,299.2308317,285.7033512,1.09E-05,2.36E-05,42.28847381,0.02549860508
10/1/2002,4.48E-06,4.48E-06,291.2934367,277.6429945,7.15E-06,9.80E-06,52.13182476,0.75767226
11/1/2002,5.39E-06,5.39E-06,285.40537,271.2783958,7.58E-06,3.15E-06,53.84481604,3.982537645
12/1/2002,4.90E-06,4.90E-06,279.8473767,268.3997047,5.93E-06,1.80E-06,54.22734405,6.002770262
1/1/2003,4.54E-06,4.54E-06,284.4683133,270.911886,1.50E-06,1.30E-06,54.84055767,8.699633613
