Date,PDSI
1/1/2000,-2.82
2/1/2000,-3.22
3/1/2000,-2.65
4/1/2000,-3.23
5/1/2000,-4.38
6/1/2000,-4.58
7/1/2000,-5.41
8/1/2000,-5.27
9/1/2000,-5.69
10/1/2000,-3.51
11/1/2000,-2.72
12/1/2000,-2.79
1/1/2001,-2.08
2/1/2001,-1.68
3/1/2001,-1.51
4/1/2001,-1.36
5/1/2001,-1.17
6/1/2001,-1.32
7/1/2001,-1.49
8/1/2001,-1.52
9/1/2001,-2.25
10/1/2001,-2.8
11/1/2001,-2.73
12/1/2001,-2.75
1/1/2002,-3.12
2/1/2002,-3.6
3/1/2002,-3.88
4/1/2002,-4.61
5/1/2002,-5.8
6/1/2002,-6.81
7/1/2002,-7.3
8/1/2002,-7.73
9/1/2002,-6.2
10/1/2002,-5.32
11/1/2002,-4.95
12/1/2002,-4.64
1/1/2003,-5.32
2/1/2003,-4.41
3/1/2003,-4.08
4/1/2003,-4
5/1/2003,-4.46
6/1/2003,-4.49
7/1/2003,-5.57
8/1/2003,-5.72
9/1/2003,-5.59
10/1/2003,-5.84
11/1/2003,-5
12/1/2003,-4.78
1/1/2004,-4.65
2/1/2004,-3.84
3/1/2004,-4.47
4/1/2004,-3.22
5/1/2004,-3.75
6/1/2004,-3.73
7/1/2004,-3.64
8/1/2004,-3.59
9/1/2004,0.47
10/1/2004,1.26
11/1/2004,1.99
12/1/2004,1.94
1/1/2005,2.97
2/1/2005,3.9
3/1/2005,3.86
4/1/2005,3.85
5/1/2005,4.15
6/1/2005,4.75
7/1/2005,-0.38
8/1/2005,0.41
9/1/2005,-0.29
10/1/2005,-0.03
11/1/2005,-0.75
12/1/2005,-1.27
1/1/2006,-1.86
2/1/2006,-2.67
3/1/2006,-2.43
4/1/2006,-2.95
5/1/2006,-4.3
6/1/2006,-5.2
7/1/2006,-4.6
8/1/2006,-3.54
9/1/2006,-2.54
10/1/2006,-1.27
11/1/2006,-1.79
12/1/2006,-1.75
1/1/2007,-1.74
2/1/2007,-1.95
3/1/2007,-2.41
4/1/2007,-2.42
5/1/2007,-2.62
6/1/2007,-3.21
7/1/2007,-3.26
8/1/2007,-3.38
9/1/2007,-3.06
10/1/2007,-3.35
11/1/2007,-3.78
12/1/2007,-2.43
1/1/2008,-1.6
2/1/2008,-1.12
3/1/2008,-1.53
4/1/2008,-1.86
5/1/2008,-1.66
6/1/2008,-1.79
7/1/2008,-1.29
8/1/2008,-0.85
9/1/2008,-1.23
10/1/2008,-1.34
11/1/2008,-1.58
12/1/2008,-1.01
1/1/2009,-1.35
2/1/2009,-1.68
3/1/2009,-2.26
4/1/2009,-2.07
5/1/2009,-2.48
6/1/2009,-2.22
7/1/2009,-2.44
8/1/2009,-3.46
9/1/2009,-3.4
10/1/2009,-2.95
11/1/2009,-3.38
12/1/2009,0.16
1/1/2010,0.98
2/1/2010,1.35
3/1/2010,1.41
4/1/2010,1.44
5/1/2010,1.31
6/1/2010,1.3
7/1/2010,1.73
8/1/2010,-0.02
9/1/2010,-0.76
10/1/2010,-0.5
11/1/2010,-0.71
12/1/2010,-0.29
1/1/2011,-0.89
2/1/2011,-0.8
3/1/2011,-1.46
4/1/2011,-1.48
5/1/2011,-1.36
6/1/2011,-2.11
7/1/2011,-2.21
8/1/2011,-2.94
9/1/2011,-2.84
10/1/2011,-2.57
11/1/2011,-2.45
12/1/2011,-1.97
1/1/2012,-2.42
2/1/2012,-2.49
3/1/2012,-3.23
4/1/2012,-3.87
5/1/2012,-4.8
6/1/2012,-5.91
7/1/2012,-5.64
8/1/2012,-5.92
9/1/2012,-5.67
10/1/2012,-5.76
11/1/2012,-6.05
12/1/2012,-5.31
1/1/2013,-4.86
2/1/2013,-4.68
3/1/2013,-4.95
4/1/2013,-4.81
5/1/2013,-5.26
6/1/2013,-6.03
7/1/2013,-5.11
8/1/2013,-4.74
9/1/2013,-2.52
10/1/2013,-2.49
11/1/2013,-2.02
12/1/2013,-2.12
1/1/2014,-2.61
2/1/2014,-3.06
3/1/2014,-3.38
4/1/2014,-3.54
5/1/2014,-3.95
6/1/2014,-4.82
7/1/2014,-4.42
8/1/2014,-3.46
9/1/2014,-2.05
10/1/2014,-2.48
11/1/2014,-2.56
12/1/2014,-2.33
1/1/2015,-2.06
2/1/2015,-2.37
3/1/2015,-2.92
4/1/2015,-2.95
5/1/2015,1.28
6/1/2015,1.01
7/1/2015,1.37
8/1/2015,0.84
9/1/2015,0.17
10/1/2015,0.84
11/1/2015,0.92
12/1/2015,0.92
1/1/2016,0.95
2/1/2016,-0.68
3/1/2016,-1.49
4/1/2016,-1.18
5/1/2016,-1.23
6/1/2016,-1.82
7/1/2016,-2.7
8/1/2016,-2.23
9/1/2016,-1.93
10/1/2016,-2.63
11/1/2016,-2.57
12/1/2016,0.5
1/1/2017,1.66
2/1/2017,-0.06
3/1/2017,-0.8
4/1/2017,-0.87
5/1/2017,-0.79
6/1/2017,-1.22
7/1/2017,0.43
8/1/2017,0.17
9/1/2017,0.36
10/1/2017,-0.58
11/1/2017,-1.7
12/1/2017,-2.51
1/1/2018,-3.15
2/1/2018,-3.31
3/1/2018,-3.84
4/1/2018,-4.47
5/1/2018,-5.53
6/1/2018,-6.56
7/1/2018,-6.4
8/1/2018,-6.46
9/1/2018,-6.55
10/1/2018,1.48
11/1/2018,1.08
12/1/2018,0.81
1/1/2019,0.98
2/1/2019,1.82
3/1/2019,2.28
4/1/2019,1.99
5/1/2019,2.9
6/1/2019,3.34
7/1/2019,-0.2
8/1/2019,-1.27
9/1/2019,-1.5
10/1/2019,-1.59
11/1/2019,-0.55
12/1/2019,-0.22
1/1/2020,-0.49
2/1/2020,-0.38
3/1/2020,-0.12
4/1/2020,-0.68
5/1/2020,-1.49
6/1/2020,-1.99
7/1/2020,-2.67
8/1/2020,-4.36
9/1/2020,-4.92
10/1/2020,-5.26
11/1/2020,-5.41
12/1/2020,-5.36
1/1/2021,-5.18
2/1/2021,-5.15
3/1/2021,-4.89
4/1/2021,-5.04
5/1/2021,-5.26
6/1/2021,-5.74
7/1/2021,-4.83
8/1/2021,-4.57
9/1/2021,-4.56
10/1/2021,-4.14
11/1/2021,-4.87
12/1/2021,-4.28
1/1/2022,-4.51
2/1/2022,-4.53
3/1/2022,-4.59
4/1/2022,-5.03
5/1/2022,-5.81
6/1/2022,-5.83
7/1/2022,-5.55
8/1/2022,0.38
9/1/2022,-0.43
10/1/2022,0.28
11/1/2022,0.21
12/1/2022,0.41
1/1/2023,1.28
2/1/2023,1.39
3/1/2023,2.1
4/1/2023,1.53
5/1/2023,1.88
6/1/2023,2.34
7/1/2023,-0.76
8/1/2023,-1.06
9/1/2023,-1.26
10/1/2023,-1.74
10/2/2023,-2.09
10/3/2023,-2.25
