Southwest December Palmer Drought Severity Index (PDSI)
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
189501,1.84,1.81
189502,2.73,2.70
189503,2.54,2.57
189504,1.82,1.84
189505,2.84,2.87
189506,3.53,3.62
189507,4.58,4.65
189508,4.58,4.72
189509,3.61,3.70
189510,3.26,3.31
189511,3.87,4.02
189512,-0.14,0.00
189601,-0.34,-0.37
189602,-0.63,-0.66
189603,-0.82,-0.79
189604,-0.98,-0.96
189605,-1.55,-1.52
189606,-2.06,-1.97
189607,0.59,0.66
189608,0.05,0.19
189609,0.51,0.60
189610,1.56,1.61
189611,1.31,1.46
189612,0.74,0.88
189701,1.41,1.38
189702,1.96,1.93
189703,2.49,2.52
189704,2.10,2.12
189705,2.60,2.63
189706,2.83,2.92
189707,2.78,2.85
189708,2.40,2.54
189709,3.05,3.14
189710,3.47,3.52
189711,-0.55,-0.40
189712,-0.54,-0.40
189801,-0.31,-0.34
189802,-0.94,-0.97
189803,-0.98,-0.95
189804,-1.12,-1.10
189805,-0.54,-0.51
189806,-0.29,-0.20
189807,0.00,0.07
189808,-0.25,-0.11
189809,-1.07,-0.98
189810,-1.51,-1.46
189811,-1.31,-1.16
189812,-0.98,-0.84
189901,-1.03,-1.06
189902,-0.77,-0.80
189903,-0.77,-0.74
189904,-1.20,-1.18
189905,-1.76,-1.73
189906,-1.73,-1.64
189907,-0.98,-0.91
189908,-1.34,-1.20
189909,-1.75,-1.66
189910,-1.50,-1.45
189911,-1.56,-1.41
189912,-1.60,-1.46
190001,-2.25,-2.28
190002,-2.58,-2.61
190003,-3.30,-3.27
190004,-1.26,-1.24
190005,-1.34,-1.31
190006,-1.82,-1.73
190007,-2.73,-2.66
190008,-3.48,-3.34
190009,-2.44,-2.35
190010,-2.47,-2.42
190011,-2.29,-2.14
190012,-2.87,-2.73
190101,-2.92,-2.95
190102,-2.17,-2.20
190103,-2.19,-2.16
190104,-1.78,-1.76
190105,-1.45,-1.42
190106,-1.87,-1.78
190107,-2.35,-2.28
190108,-2.40,-2.26
190109,-2.90,-2.81
190110,-2.79,-2.74
190111,-3.00,-2.85
190112,-3.17,-3.03
190201,-3.31,-3.34
190202,-3.67,-3.70
190203,-3.48,-3.45
190204,-3.88,-3.86
190205,-4.02,-3.99
190206,-4.74,-4.65
190207,-5.06,-4.99
190208,-4.75,-4.61
190209,-4.37,-4.28
190210,-4.54,-4.49
190211,0.44,0.59
190212,0.65,0.79
190301,0.28,0.25
190302,0.83,0.80
190303,0.92,0.95
190304,0.90,0.92
190305,0.88,0.91
190306,1.96,2.05
190307,-0.26,-0.19
190308,-0.79,-0.65
190309,-0.51,-0.42
190310,-0.96,-0.91
190311,-1.68,-1.53
190312,-2.29,-2.15
190401,-2.83,-2.86
190402,-3.37,-3.40
190403,-3.57,-3.54
190404,-3.90,-3.88
190405,-4.14,-4.11
190406,-4.30,-4.21
190407,-4.38,-4.31
190408,0.33,0.47
190409,0.79,0.88
190410,0.75,0.80
190411,-0.88,-0.73
190412,-1.02,-0.88
190501,0.55,0.52
190502,2.35,2.32
190503,3.47,3.50
190504,4.84,4.86
190505,5.31,5.34
190506,6.15,6.24
190507,6.28,6.35
190508,5.20,5.34
190509,5.24,5.33
190510,4.31,4.36
190511,5.46,5.61
190512,5.00,5.14
190601,4.77,4.74
190602,4.37,4.34
190603,5.19,5.22
190604,5.83,5.85
190605,6.01,6.04
