"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2000-02-01,874212.208990558,-146474.094942993,-146474.094942993,-146474.094942993,-146474.094942993,-146474.094942993,-146474.094942993,0,0,0,655551.725739323,804832.228792486,874212.208990558,874212.208990558,727738.114047564
2000-03-01,873128.407032905,94964.5796691833,94964.5796691833,94964.5796691833,94964.5796691833,94964.5796691833,94964.5796691833,0,0,0,896369.669158675,1039578.97267315,873128.407032905,873128.407032905,968092.986702088
2000-04-01,871969.860112656,231070.710775043,231070.710775043,231070.710775043,231070.710775043,231070.710775043,231070.710775043,0,0,0,1033639.13780436,1179453.69309799,871969.860112656,871969.860112656,1103040.5708877
2000-05-01,870848.685673705,231839.573822753,231839.573822753,231839.573822753,231839.573822753,231839.573822753,231839.573822753,0,0,0,1028768.32935242,1179249.03300315,870848.685673705,870848.685673705,1102688.25949646
2000-06-01,869690.138753456,132982.40063946,132982.40063946,132982.40063946,132982.40063946,132982.40063946,132982.40063946,0,0,0,927397.15014214,1073155.23575895,869690.138753456,869690.138753456,1002672.53939292
2000-07-01,868568.964314505,109108.984182735,109108.984182735,109108.984182735,109108.984182735,109108.984182735,109108.984182735,0,0,0,908534.316749405,1055185.1877444,868568.964314505,868568.964314505,977677.94849724
2000-08-01,867410.417394255,7129.61743142826,7129.61743142826,7129.61743142826,7129.61743142826,7129.61743142826,7129.61743142826,0,0,0,799777.948628445,948571.847729518,867410.417394255,867410.417394255,874540.034825684
2000-09-01,866251.870474006,-40899.786819733,-40899.786819733,-40899.786819733,-40899.786819733,-40899.786819733,-40899.786819733,0,0,0,743116.031637831,899751.136980946,866251.870474006,866251.870474006,825352.083654273
2000-10-01,865130.696035055,-109643.208390659,-109643.208390659,-109643.208390659,-109643.208390659,-109643.208390659,-109643.208390659,0,0,0,684559.173338688,824225.807744814,865130.696035055,865130.696035055,755487.487644396
2000-11-01,863972.149114806,-141467.444747357,-141467.444747357,-141467.444747357,-141467.444747357,-141467.444747357,-141467.444747357,0,0,0,650058.611842367,796989.277613914,863972.149114806,863972.149114806,722504.704367449
2000-12-01,863301.861978194,-205057.563123536,-205057.563123536,-205057.563123536,-205057.563123536,-205057.563123536,-205057.563123536,0,0,0,587203.925686408,732913.166224664,863301.861978194,863301.861978194,658244.298854658
2001-01-01,862609.231937029,-231031.194560192,-231031.194560192,-231031.194560192,-231031.194560192,-231031.194560192,-231031.194560192,0,0,0,555998.069704956,707526.92026299,862609.231937029,862609.231937029,631578.037376837
2001-02-01,861916.601895864,-200244.092788507,-200244.092788507,-200244.092788507,-200244.092788507,-200244.092788507,-200244.092788507,0,0,0,590759.995140495,740312.993309567,861916.601895864,861916.601895864,661672.509107358
2001-03-01,861291.00056836,94985.9325588124,94985.9325588124,94985.9325588124,94985.9325588124,94985.9325588124,94985.9325588124,0,0,0,876582.043536959,1036020.28399904,861291.00056836,861291.00056836,956276.933127173
2001-04-01,860598.370527195,227844.57149602,227844.57149602,227844.57149602,227844.57149602,227844.57149602,227844.57149602,0,0,0,1012668.05729371,1164068.43352005,860598.370527195,860598.370527195,1088442.94202321
2001-05-01,859928.083390584,216077.895488795,216077.895488795,216077.895488795,216077.895488795,216077.895488795,216077.895488795,0,0,0,997789.637859175,1149701.23361019,859928.083390584,859928.083390584,1076005.97887938
2001-06-01,859235.453349418,132609.634964733,132609.634964733,132609.634964733,132609.634964733,132609.634964733,132609.634964733,0,0,0,922014.776392025,1072312.03534609,859235.453349418,859235.453349418,991845.088314152
