ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat,Sum_real
2/1/2000,874212.209,-146474.0949,-146474.0949,-146474.0949,-146474.0949,-146474.0949,-146474.0949,0,0,0,655551.7257,804832.2288,874212.209,874212.209,727738.114,651800
3/1/2000,873128.407,94964.57967,94964.57967,94964.57967,94964.57967,94964.57967,94964.57967,0,0,0,896369.6692,1039578.973,873128.407,873128.407,968092.9867,754300
4/1/2000,871969.8601,231070.7108,231070.7108,231070.7108,231070.7108,231070.7108,231070.7108,0,0,0,1033639.138,1179453.693,871969.8601,871969.8601,1103040.571,995500
5/1/2000,870848.6857,231839.5738,231839.5738,231839.5738,231839.5738,231839.5738,231839.5738,0,0,0,1028768.329,1179249.033,870848.6857,870848.6857,1102688.259,1120800
6/1/2000,869690.1388,132982.4006,132982.4006,132982.4006,132982.4006,132982.4006,132982.4006,0,0,0,927397.1501,1073155.236,869690.1388,869690.1388,1002672.539,1161900
7/1/2000,868568.9643,109108.9842,109108.9842,109108.9842,109108.9842,109108.9842,109108.9842,0,0,0,908534.3167,1055185.188,868568.9643,868568.9643,977677.9485,991300
8/1/2000,867410.4174,7129.617431,7129.617431,7129.617431,7129.617431,7129.617431,7129.617431,0,0,0,799777.9486,948571.8477,867410.4174,867410.4174,874540.0348,1017100
9/1/2000,866251.8705,-40899.78682,-40899.78682,-40899.78682,-40899.78682,-40899.78682,-40899.78682,0,0,0,743116.0316,899751.137,866251.8705,866251.8705,825352.0837,880400
10/1/2000,865130.696,-109643.2084,-109643.2084,-109643.2084,-109643.2084,-109643.2084,-109643.2084,0,0,0,684559.1733,824225.8077,865130.696,865130.696,755487.4876,682000
11/1/2000,863972.1491,-141467.4447,-141467.4447,-141467.4447,-141467.4447,-141467.4447,-141467.4447,0,0,0,650058.6118,796989.2776,863972.1491,863972.1491,722504.7044,640400
12/1/2000,863301.862,-205057.5631,-205057.5631,-205057.5631,-205057.5631,-205057.5631,-205057.5631,0,0,0,587203.9257,732913.1662,863301.862,863301.862,658244.2989,715200
1/1/2001,862609.2319,-231031.1946,-231031.1946,-231031.1946,-231031.1946,-231031.1946,-231031.1946,0,0,0,555998.0697,707526.9203,862609.2319,862609.2319,631578.0374,713300
2/1/2001,861916.6019,-200244.0928,-200244.0928,-200244.0928,-200244.0928,-200244.0928,-200244.0928,0,0,0,590759.9951,740312.9933,861916.6019,861916.6019,661672.5091,632900
3/1/2001,861291.0006,94985.93256,94985.93256,94985.93256,94985.93256,94985.93256,94985.93256,0,0,0,876582.0435,1036020.284,861291.0006,861291.0006,956276.9331,753900
4/1/2001,860598.3705,227844.5715,227844.5715,227844.5715,227844.5715,227844.5715,227844.5715,0,0,0,1012668.057,1164068.434,860598.3705,860598.3705,1088442.942,779500
5/1/2001,859928.0834,216077.8955,216077.8955,216077.8955,216077.8955,216077.8955,216077.8955,0,0,0,997789.6379,1149701.234,859928.0834,859928.0834,1076005.979,1069400
6/1/2001,859235.4533,132609.635,132609.635,132609.635,132609.635,132609.635,132609.635,0,0,0,922014.7764,1072312.035,859235.4533,859235.4533,991845.0883,1089400
7/1/2001,858565.1662,112028.9508,112028.9508,112028.9508,112028.9508,112028.9508,112028.9508,0,0,0,898046.2118,1041062.578,858565.1662,858565.1662,970594.117,1023100
8/1/2001,857872.5362,12121.16433,12121.16433,12121.16433,12121.16433,12121.16433,12121.16433,0,0,0,791158.3191,941263.7634,857872.5362,857872.5362,869993.7005,1020600
