Year,Month,Volume of Water,Water Level
2000,JAN,25046,1214.26
2000,FEB,24974,1213.79
2000,MAR,24598,1211.33
2000,APR,24213,1208.78
2000,MAY,24047,1207.67
2000,JUN,23514,1204.09
2000,JUL,22912,1199.97
2000,AUG,22435,1196.66
2000,SEP,22444,1196.72
2000,OCT,22435,1196.66
2000,NOV,22405,1196.45
2000,DEC,22358,1196.12
2001,JAN,22523,1197.27
2001,FEB,22430,1196.62
2001,MAR,22154,1194.68
2001,APR,21603,1190.76
2001,MAY,21127,1187.32
2001,JUN,20557,1183.12
2001,JUL,20245,1180.78
2001,AUG,20137,1179.97
2001,SEP,19873,1177.96
2001,OCT,19882,1178.03
2001,NOV,19776,1177.22
2001,DEC,19795,1177.37
2002,JAN,19870,1177.94
2002,FEB,19682,1176.5
2002,MAR,19112,1172.06
2002,APR,18539,1167.49
2002,MAY,17915,1162.39
2002,JUN,17533,1160.19
2002,JUL,17343,1157.57
2002,AUG,17209,1156.42
2002,SEP,17093,1155.42
2002,OCT,17032,1154.89
2002,NOV,16850,1153.3
2002,DEC,16718,1152.13
2003,JAN,16854,1153.33
2003,FEB,16978,1154.42
2003,MAR,16826,1153.09
2003,APR,16287,1148.27
2003,MAY,15893,1144.68
2003,JUN,15733,1143.19
2003,JUL,15598,1141.93
2003,AUG,15741,1143.27
2003,SEP,15618,1142.12
2003,OCT,15517,1141.17
2003,NOV,15337,1139.48
2003,DEC,15300,1139.12
2004,JAN,15434,1140.39
2004,FEB,15404,1140.11
2004,MAR,15255,1138.7
2004,APR,14866,1134.98
2004,MAY,14324,1129.7
2004,JUN,14042,1126.93
2004,JUL,13924,1125.73
2004,AUG,14018,1126.67
2004,SEP,13937,1125.86
2004,OCT,14094,1127.43
2004,NOV,14367,1130.13
2004,DEC,14355,1130.01
2005,JAN,15119,1137.4
2005,FEB,15739,1143.25
2005,MAR,16220,1147.66
2005,APR,15869,1144.45
2005,MAY,15593,1141.89
2005,JUN,15441,1140.46
2005,JUL,15288,1139.01
2005,AUG,15351,1139.61
2005,SEP,15219,1138.36
2005,OCT,15078,1137.01
2005,NOV,14896,1135.27
2005,DEC,15131,1137.52
2006,JAN,15335,1139.46
2006,FEB,15520,1141.2
2006,MAR,15337,1139.48
2006,APR,14966,1135.94
2006,MAY,14470,1131.14
2006,JUN,14178,1128.26
2006,JUL,13993,1126.42
2006,AUG,14005,1126.54
2006,SEP,13887,1125.36
2006,OCT,13964,1126.13
2006,NOV,14014,1126.63
2006,DEC,14164,1128.12
2007,JAN,14309,1129.55
2007,FEB,14288,1129.35
2007,MAR,13930,1125.79
2007,APR,13426,1120.69
2007,MAY,12963,1115.89
2007,JUN,12735,1113.5
2007,JUL,12554,1111.58
2007,AUG,12578,1111.84
2007,SEP,12505,1111.06
2007,OCT,12494,1110.95
2007,NOV,12520,1111.22
2007,DEC,12860,1114.81
2008,JAN,13017,1116.46
2008,FEB,13062,1116.93
2008,MAR,12940,1115.65
2008,APR,12463,1110.61
2008,MAY,12132,1107.05
2008,JUN,11941,1104.98
2008,JUL,11890,1104.42
2008,AUG,11955,1105.13
2008,SEP,12013,1105.76
2008,OCT,12213,1107.94
2008,NOV,12157,1107.33
2008,DEC,12496,1110.97
2009,JAN,12572,1111.78
2009,FEB,12539,1111.43
2009,MAR,12164,1107.4
2009,APR,11604,1101.26
2009,MAY,11217,1096.92
2009,JUN,11071,1095.26
2009,JUL,10978,1094.2
2009,AUG,10938,1093.73
2009,SEP,10933,1093.68
2009,OCT,10897,1093.26
2009,NOV,10919,1093.52
2009,DEC,11162,1096.3
2010,JAN,11493,1100.02
2010,FEB,11780,1103.21
2010,MAR,11550,1100.66
2010,APR,11313,1098
2010,MAY,10987,1094.3
2010,JUN,10556,1089.3
2010,JUL,10357,1086.97
2010,AUG,10352,1086.91
2010,SEP,10092,1083.81
2010,OCT,9971,1082.36
2010,NOV,9936,1081.94
2010,DEC,10301,1086.3
2011,JAN,10765,1091.73
2011,FEB,11117,1095.78
2011,MAR,11170,1096.39
2011,APR,11115,1095.76
2011,MAY,11304,1097.9
2011,JUN,11705,1102.38
2011,JUL,12133,1107.07
2011,AUG,12730,1113.45
2011,SEP,12977,1116.04
2011,OCT,13456,1121
2011,NOV,13933,1125.82
2011,DEC,14644,1132.83
2012,JAN,15022,1134.18
2012,FEB,14907,1133.06
2012,MAR,14535,1129.41
2012,APR,13986,1123.93
2012,MAY,13541,1119.38
2012,JUN,13200,1115.84
2012,JUL,13207,1115.92
2012,AUG,13269,1116.56
2012,SEP,13135,1115.16
2012,OCT,13263,1116.5
2012,NOV,13334,1117.24
2012,DEC,13636,1120.36
2013,JAN,13828,1122.32
2013,FEB,13810,1122.14
2013,MAR,13465,1118.59
2013,APR,12921,1112.91
2013,MAY,12495,1108.36
2013,JUN,12276,1105.98
2013,JUL,12270,1105.92
2013,AUG,12289,1106.13
2013,SEP,12362,1106.92
2013,OCT,12099,1104.04
2013,NOV,12310,1106.36
2013,DEC,12344,1106.73
2014,JAN,12531,1108.75
2014,FEB,12456,1107.94
2014,MAR,11888,1101.71
2014,APR,11254,1094.55
2014,MAY,10639,1087.46
2014,JUN,10233,1082.66
2014,JUL,10061,1080.6
2014,AUG,10140,1081.55
2014,SEP,10121,1081.33
2014,OCT,10244,1082.79
2014,NOV,10309,1083.57
2014,DEC,10667,1087.79
2015,JAN,10729,1088.51
2015,FEB,10769,1088.98
2015,MAR,10419,1084.87
2015,APR,9931,1079.03
2015,MAY,9729,1076.57
2015,JUN,9607,1075.08
2015,JUL,9858,1078.15
2015,AUG,9871,1078.31
2015,SEP,9854,1078.1
2015,OCT,9927,1078.99
2015,NOV,9865,1078.23
2015,DEC,10087,1080.91
2016,JAN,10318,1083.68
2016,FEB,10360,1084.17
2016,MAR,10048,1080.45
2016,APR,9693,1076.13
2016,MAY,9504,1073.8
2016,JUN,9330,1071.64
2016,JUL,9419,1072.75
2016,AUG,9615,1075.17
2016,SEP,9620,1075.23
2016,OCT,9710,1076.34
2016,NOV,9727,1076.55
2016,DEC,10079,1080.82
2017,JAN,10521,1086.08
